Complexity,Loss,Equation
1,0.0010027632,"0.67212254"
4,8.442173e-5,"0.75800395 ^ sqrt(g)"
5,3.7717411e-6,"(0.17053299 ^ g) + 0.6355407"
6,3.3957133e-7,"1.6418751 - (log(g) ^ 0.07150839)"
7,3.3956735e-7,"1.641875 - sqrt(log(g) ^ 0.1430276)"
8,5.165967e-8,"((log(g) + 0.061866086) ^ -0.11219805) * 0.6465781"
9,1.6028725e-8,"(log(log(g) + 1.1466118) ^ -0.16634142) * 0.61428505"
11,9.1024255e-9,"(log(log((g + 0.9307358) + g)) ^ -0.136687) / 1.6634403"
15,8.663932e-9,"(log((log(sqrt(g + 1.1509936)) ^ -0.13016053) + log(g)) ^ -0.16251293) * 0.6088115"
