Complexity,Loss,Equation
1,0.0010027632,"0.6721241"
4,8.442171e-5,"0.75800127 ^ sqrt(g)"
5,3.7719274e-6,"(0.17047574 ^ g) + 0.6355607"
6,4.9404713e-7,"(log(g) ^ -0.06526758) - 0.35729134"
7,1.4976152e-7,"log((log(g) ^ -0.06803404) / 0.5259887)"
8,5.3897434e-8,"(log(g + 0.054161213) ^ -0.109764405) / 1.553735"
10,3.416998e-8,"((log(g + 0.08540591) ^ -0.17656584) / 2.4510026) - -0.2364485"
15,1.1027897e-8,"(1.4468807 / (log((g + (g - log(g))) + -0.93252903) ^ 0.102086276)) / 2.201206"
